"vessel_code","datetime","latitude","longitude","power","fuel_consumption","actual_speed_overground","proposed_speed_overground","predicted_fuel_consumption"
"3001","2023-10-06 03:59:00","44.583065032959","-51.0384674072266","4873.02","16.0618","8.89999","8.90964135508984","15.8966625737026"
"3001","2023-10-06 04:00:00","44.5814437866211","-51.0358352661133","4806.57","15.7708","8.85999","8.90456958655268","15.425092215091"
"3001","2023-10-06 04:01:00","44.5798797607422","-51.0331382751465","4979.72","17.3263","8.75998","9.33719813525677","17.0684626534581"
"3001","2023-10-06 04:02:00","44.5783882141113","-51.0303802490234","5013.28","16.5383","8.77998","8.53838439546525","15.4341271253303"
"3001","2023-10-06 04:03:00","44.5769195556641","-51.0276222229004","5103.05","16.9468","8.75998","8.70513155385852","16.7034476859495"
"19310","2023-10-06 04:03:00",NULL,NULL,NULL,NULL,NULL,NULL,"0"
"3001","2023-10-06 04:04:00","44.5755004882812","-51.0248336791992","5188.15","18.0265","8.77998","8.47000953536481","16.9663455788046"
"3001","2023-10-06 04:05:00","44.574031829834","-51.0220756530762","5162.61","16.7262","8.83998","8.8053805584088","16.5540615230799"
"3001","2023-10-06 04:06:00","44.5724220275879","-51.0194053649902","4998.4","16.774","8.89999","8.90247481670231","15.270516599901"
"3001","2023-10-06 04:07:00","44.5707664489746","-51.0168151855469","4972.54","16.8742","8.87999","9.02906810007989","15.0842944834381"
"3001","2023-10-06 04:08:00","44.5691337585449","-51.0142211914062","4872.42","15.7397","8.91999","8.40922268740833","14.8991523304954"
"3001","2023-10-06 04:09:00","44.5675430297852","-51.0115737915039","4833.28","15.4352","8.87998","8.41579822991043","14.9522273385897"
"3001","2023-10-06 04:10:00","44.565990447998","-51.0088653564453","4818.99","15.8478","8.93999","9.67743676044047","14.3851743325591"
"3001","2023-10-06 04:11:00","44.5644989013672","-51.0060882568359","4990.97","16.6148","8.83998","8.77518743071705","15.9777516148984"
"3001","2023-10-06 04:12:00","44.5630111694336","-51.0032691955566","5126.87","16.5723","8.83998","8.13106510024518","15.6422710264102"
"3001","2023-10-06 04:13:00","44.5615463256836","-51.0004730224609","5202.41","17.5948","8.83998","9.03772996254265","17.6313969356939"
"3001","2023-10-06 04:14:00","44.5600280761719","-50.9977416992188","5169.97","17.1038","8.87999","9.08894211314619","15.5125721324235"
"3001","2023-10-06 04:15:00","44.5584526062012","-50.9950714111328","5135.09","17.0135","8.87999","8.82215945404023","16.0402208477259"
"19310","2023-10-06 04:15:00",NULL,NULL,NULL,NULL,NULL,NULL,"0"
"3001","2023-10-06 04:16:00","44.5567970275879","-50.9924621582031","4887.39","15.6118","8.89999","9.72693813666701","14.0965419871733"
"3001","2023-10-06 04:17:00","44.555118560791","-50.9898910522461","4794.38","15.9462","8.89999","9.53450746908784","14.1693466961384"
"3001","2023-10-06 04:18:00","44.5534896850586","-50.9872665405273","4789.89","15.7248","8.89999","8.72297115791589","14.1795587357134"
"3001","2023-10-06 04:19:00","44.5519142150879","-50.9846038818359","4921.28","16.4433","8.71998","8.31652639880776","16.0881912507117"
